Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.97784e-05,0.04,0.06
-4.97774e-05,0.08,0.06
-4.97764e-05,0.04,0.06
-4.97754e-05,0.08,0.06
-4.97744e-05,0.08,0.02
-4.97734e-05,0.04,-0.02
-4.97724e-05,0.04,0.02
-4.97714e-05,0.04,-0.02
-4.97704e-05,0.04,0.02
-4.97694e-05,0.08,0.06
-4.97684e-05,0.08,0.1
-4.97674e-05,0.08,0.06
-4.97664e-05,0.08,0.06
-4.97654e-05,0.08,0.02
-4.97644e-05,0.04,-0.02
-4.97634e-05,0.08,-0.02
-4.97624e-05,0.08,-0.02
-4.97614e-05,0.08,0.02
-4.97604e-05,0.04,0.06
-4.97594e-05,0.08,0.06
-4.97584e-05,0.08,0.1
-4.97574e-05,0.08,0.06
-4.97564e-05,0.08,0.06
-4.97554e-05,0.08,0.02
-4.97544e-05,0.04,-0.02
-4.97534e-05,0.04,-0.02
-4.97524e-05,0.04,-0.02
-4.97514e-05,0.08,0.02
-4.97504e-05,0.08,0.06
-4.97494e-05,0.08,0.06
-4.97484e-05,0.04,0.06
-4.97474e-05,0.08,0.06
-4.97464e-05,0.08,0.06
-4.97454e-05,0.08,0.02
-4.97444e-05,0.04,0.02
-4.97434e-05,0.04,-0.02
-4.97424e-05,0.04,-0.02
-4.97414e-05,0.04,-0.02
-4.97404e-05,0.08,0.02
-4.97394e-05,0.08,0.06
-4.97384e-05,0.08,0.06
-4.97374e-05,0.08,0.06
-4.97364e-05,0.08,0.02
-4.97354e-05,0.08,0.02
-4.97344e-05,0.08,0.02
-4.97334e-05,0.04,0.02
-4.97324e-05,0.04,-0.02
-4.97314e-05,0.04,0.02
-4.97304e-05,0.08,0.06
-4.97294e-05,0.08,0.06
-4.97284e-05,0.08,0.06
-4.97274e-05,0.08,0.06
-4.97264e-05,0.08,0.06
-4.97254e-05,0.08,0.02
-4.97244e-05,0.08,0.02
-4.97234e-05,0.08,-0.02
-4.97224e-05,0.08,-0.02
-4.97214e-05,0.08,0.02
-4.97204e-05,0.08,0.06
-4.97194e-05,0.08,0.02
-4.97184e-05,0.08,0.06
-4.97174e-05,0.08,0.06
-4.97164e-05,0.08,0.06
-4.97154e-05,0.04,0.02
-4.97144e-05,0.04,0.02
-4.97134e-05,0.04,0.02
-4.97124e-05,0.04,0.02
-4.97114e-05,0.04,0.02
