Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.97988e-05,0.12,0.06
-4.97978e-05,0.08,0.06
-4.97968e-05,0.08,0.02
-4.97958e-05,0.04,0.02
-4.97948e-05,0.04,0.02
-4.97938e-05,0.04,0.02
-4.97928e-05,0.04,0.02
-4.97918e-05,0.08,0.02
-4.97908e-05,0.08,0.06
-4.97898e-05,0.08,0.06
-4.97888e-05,0.04,0.06
-4.97878e-05,0.08,0.06
-4.97868e-05,0.04,0.02
-4.97858e-05,0.08,0.02
-4.97848e-05,0.04,-0.02
-4.97838e-05,0.08,0.02
-4.97828e-05,0.08,0.02
-4.97818e-05,0.08,0.06
-4.97808e-05,0.08,0.06
-4.97798e-05,0.04,0.06
-4.97788e-05,0.04,0.06
-4.97778e-05,0.04,0.06
-4.97768e-05,0.04,0.02
-4.97758e-05,0.04,0.02
-4.97748e-05,0.08,-0.02
-4.97738e-05,0.08,0.02
-4.97728e-05,0.08,0.02
-4.97718e-05,0.08,0.02
-4.97708e-05,0.08,0.06
-4.97698e-05,0.04,0.02
-4.97688e-05,0,0.06
-4.97678e-05,0,0.06
-4.97668e-05,0,0.06
-4.97658e-05,0.04,0.06
-4.97648e-05,0.08,0.02
-4.97638e-05,0.08,0.02
-4.97628e-05,0.08,0.02
-4.97618e-05,0.08,0.02
-4.97608e-05,0.04,0.06
-4.97598e-05,0.04,0.06
-4.97588e-05,0.04,0.02
-4.97578e-05,0.04,0.02
-4.97568e-05,0.04,0.06
-4.97558e-05,0.04,0.02
-4.97548e-05,0.04,0.02
-4.97538e-05,0.08,0.02
-4.97528e-05,0.08,0.02
-4.97518e-05,0.08,0.02
-4.97508e-05,0.08,0.02
-4.97498e-05,0.08,0.02
-4.97488e-05,0.04,0.02
-4.97478e-05,0.04,0.02
-4.97468e-05,0.04,0.06
-4.97458e-05,0.04,0.06
-4.97448e-05,0.08,0.06
-4.97438e-05,0.08,0.06
-4.97428e-05,0.04,0.06
-4.97418e-05,0.08,0.06
-4.97408e-05,0.08,0.06
-4.97398e-05,0.08,0.02
-4.97388e-05,0.08,0.06
-4.97378e-05,0.08,0.06
-4.97368e-05,0.08,0.02
-4.97358e-05,0.08,0.06
-4.97348e-05,0,0.06
-4.97338e-05,0.04,0.02
-4.97328e-05,0.04,0.02
-4.97318e-05,0.08,0.02
-4.97308e-05,0.08,0.02
-4.97298e-05,0.08,0.02
