;Analog;;;;;;;;;;;Digital;;;;;Trigger;;;;;;;;;Acquisition;;;;Analog;;;;;;Digital;;;;;;;;;;
;;Name;Alias;Channel Coupling;Bandwidth Limit;Input Impedance;Probe Attenuation;Volts Per Division;Vertical Offset (V);ΔT (ns);;;Name;Alias;ΔT (ns);;;Type;Delay (s);Reason;Edge;Source;Level (V);Hysteresis;;;Mode;;;;Name;Measurement Mode;Null Offset;;;;Name;Direction;;;;;;;;;
;;1;PPS direct;DC;Full Bandwidth;1 MΩ;10X;1 V/;-3,000000;2,0000;;;D1;PPS feedback;1,0000;;;Edge;00,000;Triggered;Rising;PPS direct (1);2,00;Noise Reject;;;Sample;;;;DMM;Continuity;Off;;;;0;Input;;;;;;;;;;;
;;2;PPS feedback;DC;Full Bandwidth;1 MΩ;10X;1 V/;-2,000000;2,0000;;;D0;PPS direct;1,0000;;;;;;;;;;;;;;;;;;;;;;1;Input;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Input;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;Input;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;Input;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;Input;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;Input;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;Input;;;;;;;;;;;
MIXED SIGNAL OSCILLOSCOPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DIGITAL MULTIMETER;;;;;;DIGITAL I/O;;;;;;;;;;
Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Data;;;;;;Data;;;;;;;;;;
;Analog;;;;;Digital;;;;;;;;;;;;;;;;;;;;;;;;Analog;;;;;;Digital;;;;;;;;;;
;;Timestamps (ns);PPS direct;PPS feedback;;;Timestamps (ns);PPS feedback;PPS direct;;;;;;;;;;;;;;;;;;;;;;DMM;;;;;;0;1;2;3;4;5;6;7;;;
;;-50;0,0370370370370368;-0,0164609053497946;;;-51;0;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;;;
;;2;2,62962962962963;0,148148148148148;;;-25;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;2,87654320987654;0,024691358024691;;;-24;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;6;2,95884773662551;-0,0576131687242802;;;-23;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;8;2,95884773662551;-0,0576131687242802;;;-22;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;10;2,83539094650206;0,0658436213991767;;;-21;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;12;2,7119341563786;0,148148148148148;;;-20;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;14;2,7119341563786;0,0658436213991767;;;-19;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;16;2,7119341563786;-0,0164609053497946;;;-18;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;18;2,62962962962963;-0,0987654320987659;;;-17;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;20;2,62962962962963;-0,0987654320987659;;;-16;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;22;2,7119341563786;-0,0576131687242802;;;-15;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;24;2,75308641975309;0,024691358024691;;;-14;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;26;2,83539094650206;0,0658436213991767;;;-13;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;28;2,75308641975309;0,024691358024691;;;-12;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;30;2,7119341563786;-0,0576131687242802;;;-11;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;32;2,67078189300412;-0,0576131687242802;;;-10;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;34;2,7119341563786;-0,0576131687242802;;;-9;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;36;2,7119341563786;-0,0164609053497946;;;-8;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;38;2,75308641975309;0,024691358024691;;;-7;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;40;2,7119341563786;0,024691358024691;;;-6;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;42;2,75308641975309;-0,0164609053497946;;;-5;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;44;2,7119341563786;-0,0164609053497946;;;-4;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;46;2,7119341563786;-0,0164609053497946;;;-3;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;48;2,7119341563786;-0,0164609053497946;;;-2;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;50;2,7119341563786;-0,0164609053497946;;;-1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;52;2,7119341563786;-0,0164609053497946;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;54;2,7119341563786;-0,0576131687242802;;;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;56;2,7119341563786;-0,0164609053497946;;;2;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;58;2,75308641975309;-0,0164609053497946;;;3;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;60;2,7119341563786;0,024691358024691;;;4;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;62;2,7119341563786;-0,0164609053497946;;;5;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;64;2,7119341563786;-0,0164609053497946;;;6;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;66;2,7119341563786;-0,0576131687242802;;;7;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;68;2,67078189300412;-0,0164609053497946;;;8;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;70;2,75308641975309;-0,0164609053497946;;;9;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;72;2,75308641975309;-0,0164609053497946;;;10;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;74;2,75308641975309;-0,0164609053497946;;;11;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;76;2,7119341563786;0,024691358024691;;;12;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;78;2,67078189300412;0,518518518518518;;;13;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;80;2,7119341563786;1,4238683127572;;;14;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;82;2,79423868312757;2,12345679012346;;;15;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;84;2,7119341563786;2,53497942386831;;;16;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;86;2,67078189300412;2,78189300411523;;;17;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;88;2,67078189300412;2,98765432098765;;;18;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;90;2,79423868312757;3,11111111111111;;;19;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;92;2,87654320987654;3,11111111111111;;;20;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;94;2,79423868312757;3,1522633744856;;;21;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;96;2,67078189300412;3,19341563786008;;;22;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;98;2,62962962962963;3,1522633744856;;;23;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;100;2,67078189300412;3,1522633744856;;;24;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;102;2,7119341563786;3,19341563786008;;;25;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;104;2,7119341563786;3,19341563786008;;;26;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;106;2,75308641975309;3,1522633744856;;;27;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;108;2,75308641975309;3,19341563786008;;;28;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;110;2,7119341563786;3,19341563786008;;;29;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;112;2,67078189300412;3,19341563786008;;;30;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;114;2,7119341563786;3,19341563786008;;;31;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;116;2,75308641975309;3,19341563786008;;;32;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;118;2,75308641975309;3,1522633744856;;;33;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;120;2,7119341563786;3,1522633744856;;;34;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;122;2,7119341563786;3,19341563786008;;;35;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;124;2,7119341563786;3,23456790123457;;;36;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;126;2,75308641975309;3,19341563786008;;;37;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;128;2,7119341563786;3,19341563786008;;;38;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;130;2,75308641975309;3,1522633744856;;;39;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;132;2,7119341563786;3,1522633744856;;;40;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;134;2,7119341563786;3,19341563786008;;;41;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;42;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;43;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;44;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;45;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;46;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;47;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;48;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
