Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.97316e-05,0.04,-0.02
-4.97306e-05,0.04,-0.02
-4.97296e-05,0.04,0.02
-4.97286e-05,0.04,0.02
-4.97276e-05,0.04,0.06
-4.97266e-05,0.04,0.1
-4.97256e-05,0.08,0.06
-4.97246e-05,0.08,0.06
-4.97236e-05,0.08,0.02
-4.97226e-05,0.08,-0.02
-4.97216e-05,0.04,-0.06
-4.97206e-05,0.04,-0.02
-4.97196e-05,0.04,-0.02
-4.97186e-05,0.04,0.02
-4.97176e-05,0.08,0.06
-4.97166e-05,0.08,0.1
-4.97156e-05,0.08,0.1
-4.97146e-05,0.08,0.06
-4.97136e-05,0.08,0.02
-4.97126e-05,0.04,-0.02
-4.97116e-05,0.04,-0.02
-4.97106e-05,0.04,-0.02
-4.97096e-05,0.04,-0.02
-4.97086e-05,0.04,0.06
-4.97076e-05,0.04,0.06
-4.97066e-05,0.08,0.1
-4.97056e-05,0.08,0.06
-4.97046e-05,0.12,0.06
-4.97036e-05,0.12,0.02
-4.97026e-05,0.08,-0.02
-4.97016e-05,0.04,-0.02
-4.97006e-05,0.04,-0.02
-4.96996e-05,0.04,0.02
-4.96986e-05,0.04,0.06
-4.96976e-05,0.04,0.06
-4.96966e-05,0.08,0.1
-4.96956e-05,0.08,0.06
-4.96946e-05,0.08,0.06
-4.96936e-05,0.08,0.02
-4.96926e-05,0.08,0.02
-4.96916e-05,0.04,-0.02
-4.96906e-05,0.04,-0.02
-4.96896e-05,0.04,-0.02
-4.96886e-05,0.04,0.06
-4.96876e-05,0.04,0.06
-4.96866e-05,0.08,0.1
-4.96856e-05,0.08,0.06
-4.96846e-05,0.08,0.06
-4.96836e-05,0.08,0.02
-4.96826e-05,0.04,0.02
-4.96816e-05,0.04,-0.02
-4.96806e-05,0.04,0.02
-4.96796e-05,0.04,0.02
-4.96786e-05,0.04,0.06
-4.96776e-05,0.08,0.06
-4.96766e-05,0.08,0.06
-4.96756e-05,0.08,0.06
-4.96746e-05,0.08,0.06
-4.96736e-05,0.04,0.02
-4.96726e-05,0.04,0.02
-4.96716e-05,0.04,0.02
-4.96706e-05,0.04,0.02
-4.96696e-05,0.08,0.06
-4.96686e-05,0.08,0.06
-4.96676e-05,0.08,0.02
-4.96666e-05,0.08,0.02
-4.96656e-05,0.08,0.02
-4.96646e-05,0.04,0.02
-4.96636e-05,0.04,0.02
-4.96626e-05,0.04,0.02
-4.96616e-05,0.04,0.02
-4.96606e-05,0.04,0.06
-4.96596e-05,0.08,0.06
-4.96586e-05,0.08,0.06
-4.96576e-05,0.12,0.02
-4.96566e-05,0.08,0.02
-4.96556e-05,0.08,0.02
-4.96546e-05,0.04,0.02
-4.96536e-05,0.04,0.02
-4.96526e-05,0.04,0.06
-4.96516e-05,0.04,0.06
-4.96506e-05,0.04,0.06
-4.96496e-05,0.08,0.02
-4.96486e-05,0.08,0.06
-4.96476e-05,0.12,0.02
-4.96466e-05,0.08,0.02
-4.96456e-05,0.08,0.02
-4.96446e-05,0.04,0.02
-4.96436e-05,0.04,0.02
-4.96426e-05,0.04,0.06
-4.96416e-05,0,0.02
-4.96406e-05,0.04,0.06
-4.96396e-05,0.08,0.06
-4.96386e-05,0.08,0.06
-4.96376e-05,0.08,0.02
-4.96366e-05,0.08,0.02
-4.96356e-05,0.08,0.02
-4.96346e-05,0.04,0.02
-4.96336e-05,0.04,0.02
-4.96326e-05,0.04,0.06
-4.96316e-05,0.04,0.06
-4.96306e-05,0.04,0.06
-4.96296e-05,0.04,0.06
-4.96286e-05,0.04,0.06
-4.96276e-05,0.08,0.06
-4.96266e-05,0.08,0.06
-4.96256e-05,0.08,0.02
-4.96246e-05,0.04,0.02
-4.96236e-05,0.08,-0.02
-4.96226e-05,0.04,0.02
-4.96216e-05,0.04,0.02
-4.96206e-05,0.04,0.02
-4.96196e-05,0.08,0.02
-4.96186e-05,0.08,0.06
-4.96176e-05,0.08,0.02
-4.96166e-05,0.08,0.06
-4.96156e-05,0.08,0.02
-4.96146e-05,0.08,0.02
-4.96136e-05,0.08,0.02
-4.96126e-05,0.08,0.02
-4.96116e-05,0.04,0.02
-4.96106e-05,0.08,0.02
-4.96096e-05,0.04,0.02
-4.96086e-05,0.04,0.06
-4.96076e-05,0.08,0.06
-4.96066e-05,0.04,0.06
-4.96056e-05,0.08,0.02
-4.96046e-05,0.08,0.06
-4.96036e-05,0.08,0.02
-4.96026e-05,0.08,0.06
-4.96016e-05,0.08,0.02
-4.96006e-05,0.08,0.06
-4.95996e-05,0.08,0.02
-4.95986e-05,0.04,0.06
-4.95976e-05,0.08,0.02
-4.95966e-05,0.04,0.06
-4.95956e-05,0.08,0.02
-4.95946e-05,0.08,0.06
-4.95936e-05,0.08,0.02
-4.95926e-05,0.08,0.06
-4.95916e-05,0.08,0.02
-4.95906e-05,0.08,0.02
-4.95896e-05,0.08,0.02
-4.95886e-05,0.08,0.02
-4.95876e-05,0.08,0.02
