Time,Channel A,Channel B
(ns),(V),(V)

-50.47352731,0.00000000,-0.00030758
-50.22352731,0.00046137,-0.00276821
-49.97352732,0.00123032,-0.00753568
-49.72352733,0.00230684,-0.01368725
-49.47352734,0.00307579,-0.02045399
-49.22352734,0.00353716,-0.02706693
-48.97352735,0.00307579,-0.03291092
-48.72352736,0.00138410,-0.03752461
-48.47352736,-0.00169168,-0.04060039
-48.22352737,-0.00645915,-0.04229207
-47.97352738,-0.01230315,-0.04290723
-47.72352739,-0.01906988,-0.04259966
-47.47352739,-0.02583661,-0.04183071
-47.22352740,-0.03183440,-0.04075418
-46.97352741,-0.03644808,-0.03983144
-46.72352741,-0.03890871,-0.03921629
-46.47352742,-0.03890871,-0.03921629
-46.22352743,-0.03644808,-0.03983144
-45.97352743,-0.03183440,-0.04075418
-45.72352744,-0.02583661,-0.04183071
-45.47352745,-0.01906988,-0.04259966
-45.22352746,-0.01230315,-0.04290723
-44.97352746,-0.00645915,-0.04229207
-44.72352747,-0.00169168,-0.04060039
-44.47352748,0.00138410,-0.03752461
-44.22352748,0.00307579,-0.03291092
-43.97352749,0.00353716,-0.02706693
-43.72352750,0.00307579,-0.02045399
-43.47352751,0.00230684,-0.01368725
-43.22352751,0.00138410,-0.00753568
-42.97352752,0.00061516,-0.00276821
-42.72352753,0.00015379,-0.00030758
-42.47352753,0.00000000,-0.00046137
-42.22352754,-0.00015379,-0.00338337
-41.97352755,0.00000000,-0.00891978
-41.72352755,0.00000000,-0.01599409
-41.47352756,0.00000000,-0.02352977
-41.22352757,0.00000000,-0.03060408
-40.97352758,0.00000000,-0.03598671
-40.72352758,0.00000000,-0.03890871
-40.47352759,0.00000000,-0.03890871
-40.22352760,0.00000000,-0.03598671
-39.97352760,0.00000000,-0.03060408
-39.72352761,0.00000000,-0.02352977
-39.47352762,0.00000000,-0.01599409
-39.22352763,0.00000000,-0.00891978
-38.97352763,0.00000000,-0.00338337
-38.72352764,0.00000000,-0.00030758
-38.47352765,0.00000000,-0.00030758
-38.22352765,0.00000000,-0.00338337
-37.97352766,0.00000000,-0.00891978
-37.72352767,0.00000000,-0.01599409
-37.47352767,0.00000000,-0.02352977
-37.22352768,0.00000000,-0.03060408
-36.97352769,-0.00015379,-0.03598671
-36.72352770,0.00000000,-0.03890871
-36.47352770,0.00015379,-0.03890871
-36.22352771,0.00061516,-0.03598671
-35.97352772,0.00138410,-0.03060408
-35.72352772,0.00230684,-0.02352977
-35.47352773,0.00307579,-0.01599409
-35.22352774,0.00338337,-0.00891978
-34.97352775,0.00292200,-0.00338337
-34.72352775,0.00138410,-0.00046137
-34.47352776,-0.00169168,-0.00030758
-34.22352777,-0.00584400,-0.00276821
-33.97352777,-0.01091904,-0.00753568
-33.72352778,-0.01676304,-0.01368725
-33.47352779,-0.02276083,-0.02045399
-33.22352780,-0.02845103,-0.02706693
-32.97352780,-0.03352608,-0.03291092
-32.72352781,-0.03752461,-0.03752461
-32.47352782,-0.04060039,-0.04060039
-32.22352782,-0.04229207,-0.04229207
-31.97352783,-0.04290723,-0.04290723
-31.72352784,-0.04259966,-0.04259966
-31.47352784,-0.04183071,-0.04183071
-31.22352785,-0.04075418,-0.04075418
-30.97352786,-0.03983144,-0.03983144
-30.72352787,-0.03921629,-0.03921629
-30.47352787,-0.03921629,-0.03921629
-30.22352788,-0.03983144,-0.03983144
-29.97352789,-0.04075418,-0.04075418
-29.72352789,-0.04183071,-0.04183071
-29.47352790,-0.04259966,-0.04259966
-29.22352791,-0.04290723,-0.04290723
-28.97352792,-0.04229207,-0.04229207
-28.72352792,-0.04060039,-0.04060039
-28.47352793,-0.03752461,-0.03752461
-28.22352794,-0.03352608,-0.03352608
-27.97352794,-0.02845103,-0.02845103
-27.72352795,-0.02276083,-0.02276083
-27.47352796,-0.01676304,-0.01676304
-27.22352796,-0.01091904,-0.01107283
-26.97352797,-0.00584400,-0.00584400
-26.72352798,-0.00169168,-0.00169168
-26.47352799,0.00138410,0.00138410
-26.22352799,0.00292200,0.00353716
-25.97352800,0.00338337,0.00476747
-25.72352801,0.00307579,0.00538263
-25.47352801,0.00230684,0.00538263
-25.22352802,0.00138410,0.00476747
-24.97352803,0.00061516,0.00369095
-24.72352804,0.00015379,0.00153789
-24.47352804,0.00000000,-0.00184547
-24.22352805,-0.00015379,-0.00645915
-23.97352806,0.00000000,-0.01230315
-23.72352806,0.00000000,-0.01906988
-23.47352807,0.00000000,-0.02583661
-23.22352808,0.00000000,-0.03183440
-22.97352809,0.00000000,-0.03660187
-22.72352809,0.00000000,-0.03890871
-22.47352810,0.00000000,-0.03875492
-22.22352811,0.00000000,-0.03583292
-21.97352811,0.00000000,-0.03060408
-21.72352812,0.00000000,-0.02352977
-21.47352813,0.00000000,-0.01599409
-21.22352813,0.00000000,-0.00891978
-20.97352814,-0.00015379,-0.00338337
-20.72352815,0.00000000,-0.00030758
-20.47352816,0.00015379,-0.00030758
-20.22352816,0.00061516,-0.00338337
-19.97352817,0.00138410,-0.00891978
-19.72352818,0.00230684,-0.01599409
-19.47352818,0.00307579,-0.02352977
-19.22352819,0.00353716,-0.03060408
-18.97352820,0.00307579,-0.03598671
-18.72352821,0.00138410,-0.03890871
-18.47352821,-0.00169168,-0.03890871
-18.22352822,-0.00645915,-0.03598671
-17.97352823,-0.01230315,-0.03060408
-17.72352823,-0.01906988,-0.02352977
-17.47352824,-0.02583661,-0.01599409
-17.22352825,-0.03183440,-0.00891978
-16.97352825,-0.03644808,-0.00338337
-16.72352826,-0.03890871,-0.00046137
-16.47352827,-0.03890871,-0.00030758
-16.22352828,-0.03644808,-0.00276821
-15.97352828,-0.03183440,-0.00753568
-15.72352829,-0.02583661,-0.01368725
-15.47352830,-0.01906988,-0.02045399
-15.22352830,-0.01230315,-0.02706693
-14.97352831,-0.00645915,-0.03275714
-14.72352832,-0.00169168,-0.03737082
-14.47352833,0.00138410,-0.04075418
-14.22352833,0.00307579,-0.04290723
-13.97352834,0.00353716,-0.04429134
-13.72352835,0.00307579,-0.04490650
-13.47352835,0.00230684,-0.04490650
-13.22352836,0.00138410,-0.04413754
-12.97352837,0.00061516,-0.04290723
-12.72352837,0.00015379,-0.04060039
-12.47352838,0.00000000,-0.03752461
-12.22352839,-0.00015379,-0.03337229
-11.97352840,0.00000000,-0.02845103
-11.72352840,0.00000000,-0.02276083
-11.47352841,0.00000000,-0.01676304
-11.22352842,0.00000000,-0.01091904
-10.97352842,0.00000000,-0.00584400
-10.72352843,0.00000000,-0.00169168
-10.47352844,0.00000000,0.00138410
-10.22352845,0.00000000,0.00292200
-9.97352845,0.00000000,0.00338337
-9.72352846,0.00000000,0.00307579
-9.47352847,0.00000000,0.00230684
-9.22352847,0.00000000,0.00123032
-8.97352848,0.00000000,0.00046137
-8.72352849,0.00000000,0.00000000
-8.47352850,0.00000000,0.00000000
-8.22352850,0.00000000,0.00046137
-7.97352851,0.00000000,0.00123032
-7.72352852,0.00000000,0.00230684
-7.47352852,0.00000000,0.00307579
-7.22352853,0.00015379,0.00353716
-6.97352854,0.00046137,0.00307579
-6.72352854,0.00030758,0.00138410
-6.47352855,-0.00061516,-0.00169168
-6.22352856,-0.00292200,-0.00645915
-5.97352857,-0.00661294,-0.01230315
-5.72352857,-0.01122662,-0.01906988
-5.47352858,-0.01537894,-0.02583661
-5.22352859,-0.01614788,-0.03183440
-4.97352859,-0.01199557,-0.03660187
-4.72352860,-0.00415231,-0.03890871
-4.47352861,0.00369095,-0.03875492
-4.22352862,0.00845842,-0.03583292
-3.97352862,0.00845842,-0.03060408
-3.72352863,0.00553642,-0.02352977
-3.47352864,0.00615158,-0.01599409
-3.22352864,0.02276083,-0.00891978
-2.97352865,0.06751353,-0.00338337
-2.72352866,0.14502340,-0.00030758
-2.47352866,0.25436760,-0.00030758
-2.22352867,0.38954850,-0.00338337
-1.97352868,0.54195370,-0.00891978
-1.72352869,0.70435530,-0.01599409
-1.47352869,0.87260090,-0.02352977
-1.22352870,1.05099700,-0.03060408
-0.97352871,1.24554000,-0.03598671
-0.72352871,1.45700000,-0.03890871
-0.47352872,1.68291700,-0.03890871
-0.22352873,1.91744600,-0.03598671
0.02647126,2.15289700,-0.03060408
0.27647126,2.38158200,-0.02352977
0.52647125,2.59750200,-0.01599409
0.77647124,2.80096600,-0.00891978
1.02647124,2.99320200,-0.00338337
1.27647123,3.17175200,-0.00046137
1.52647122,3.33215400,-0.00030758
1.77647121,3.46964200,-0.00276821
2.02647121,3.57975500,-0.00753568
2.27647120,3.66049500,-0.01368725
2.52647119,3.71278300,-0.02045399
