Time,Channel A,Channel B
(ns),(V),(V)

-51.86022131,0.00169168,0.00015379
-51.61022131,0.00645915,0.00061516
-51.36022132,0.01230315,0.00138410
-51.11022133,0.01906988,0.00230684
-50.86022134,0.02583661,0.00307579
-50.61022134,0.03183440,0.00353716
-50.36022135,0.03644808,0.00307579
-50.11022136,0.03890871,0.00138410
-49.86022136,0.03890871,-0.00169168
-49.61022137,0.03644808,-0.00645915
-49.36022138,0.03183440,-0.01230315
-49.11022139,0.02583661,-0.01906988
-48.86022139,0.01906988,-0.02583661
-48.61022140,0.01230315,-0.03183440
-48.36022141,0.00630536,-0.03660187
-48.11022141,0.00169168,-0.03890871
-47.86022142,-0.00123032,-0.03875492
-47.61022143,-0.00246063,-0.03583292
-47.36022143,-0.00215305,-0.03060408
-47.11022144,-0.00076895,-0.02352977
-46.86022145,0.00076895,-0.01599409
-46.61022146,0.00215305,-0.00891978
-46.36022146,0.00246063,-0.00338337
-46.11022147,0.00123032,-0.00046137
-45.86022148,-0.00169168,-0.00030758
-45.61022148,-0.00630536,-0.00276821
-45.36022149,-0.01230315,-0.00753568
-45.11022150,-0.01906988,-0.01368725
-44.86022151,-0.02583661,-0.02045399
-44.61022151,-0.03183440,-0.02706693
-44.36022152,-0.03644808,-0.03291092
-44.11022153,-0.03890871,-0.03752461
-43.86022153,-0.03890871,-0.04060039
-43.61022154,-0.03644808,-0.04229207
-43.36022155,-0.03183440,-0.04290723
-43.11022155,-0.02583661,-0.04259966
-42.86022156,-0.01906988,-0.04183071
-42.61022157,-0.01230315,-0.04075418
-42.36022158,-0.00645915,-0.03983144
-42.11022158,-0.00169168,-0.03921629
-41.86022159,0.00138410,-0.03921629
-41.61022160,0.00307579,-0.03983144
-41.36022160,0.00353716,-0.04075418
-41.11022161,0.00307579,-0.04183071
-40.86022162,0.00230684,-0.04259966
-40.61022163,0.00138410,-0.04290723
-40.36022163,0.00061516,-0.04229207
-40.11022164,0.00015379,-0.04060039
-39.86022165,0.00000000,-0.03752461
-39.61022165,-0.00015379,-0.03291092
-39.36022166,0.00000000,-0.02706693
-39.11022167,0.00000000,-0.02045399
-38.86022167,0.00000000,-0.01368725
-38.61022168,0.00000000,-0.00753568
-38.36022169,0.00000000,-0.00292200
-38.11022170,0.00000000,-0.00030758
-37.86022170,0.00000000,-0.00030758
-37.61022171,0.00000000,-0.00292200
-37.36022172,0.00000000,-0.00753568
-37.11022172,0.00000000,-0.01368725
-36.86022173,0.00000000,-0.02045399
-36.61022174,0.00000000,-0.02706693
-36.36022175,0.00000000,-0.03291092
-36.11022175,0.00000000,-0.03752461
-35.86022176,0.00000000,-0.04060039
-35.61022177,0.00000000,-0.04229207
-35.36022177,0.00000000,-0.04290723
-35.11022178,0.00000000,-0.04259966
-34.86022179,0.00000000,-0.04183071
-34.61022180,0.00000000,-0.04075418
-34.36022180,0.00000000,-0.03983144
-34.11022181,0.00000000,-0.03921629
-33.86022182,0.00000000,-0.03921629
-33.61022182,0.00000000,-0.03983144
-33.36022183,0.00000000,-0.04075418
-33.11022184,0.00000000,-0.04183071
-32.86022184,0.00000000,-0.04259966
-32.61022185,0.00000000,-0.04290723
-32.36022186,0.00000000,-0.04229207
-32.11022187,0.00000000,-0.04060039
-31.86022187,0.00000000,-0.03752461
-31.61022188,0.00000000,-0.03352608
-31.36022189,0.00000000,-0.02845103
-31.11022189,0.00000000,-0.02276083
-30.86022190,0.00000000,-0.01676304
-30.61022191,0.00000000,-0.01091904
-30.36022192,0.00000000,-0.00584400
-30.11022192,0.00000000,-0.00169168
-29.86022193,0.00000000,0.00138410
-29.61022194,0.00000000,0.00292200
-29.36022194,0.00000000,0.00338337
-29.11022195,0.00000000,0.00307579
-28.86022196,0.00000000,0.00230684
-28.61022196,0.00000000,0.00138410
-28.36022197,0.00000000,0.00061516
-28.11022198,0.00000000,0.00015379
-27.86022199,0.00000000,0.00000000
-27.61022199,0.00000000,-0.00015379
-27.36022200,0.00000000,0.00000000
-27.11022201,0.00000000,0.00000000
-26.86022201,0.00000000,0.00000000
-26.61022202,0.00000000,0.00000000
-26.36022203,0.00000000,0.00000000
-26.11022204,0.00000000,0.00000000
-25.86022204,0.00000000,0.00000000
-25.61022205,0.00000000,0.00000000
-25.36022206,0.00000000,0.00000000
-25.11022206,0.00000000,0.00000000
-24.86022207,0.00000000,0.00000000
-24.61022208,0.00000000,0.00000000
-24.36022209,-0.00015379,-0.00015379
-24.11022209,0.00000000,0.00000000
-23.86022210,0.00015379,0.00015379
-23.61022211,0.00061516,0.00061516
-23.36022211,0.00138410,0.00138410
-23.11022212,0.00230684,0.00230684
-22.86022213,0.00307579,0.00307579
-22.61022213,0.00353716,0.00353716
-22.36022214,0.00307579,0.00307579
-22.11022215,0.00138410,0.00138410
-21.86022216,-0.00169168,-0.00169168
-21.61022216,-0.00645915,-0.00645915
-21.36022217,-0.01230315,-0.01230315
-21.11022218,-0.01906988,-0.01906988
-20.86022218,-0.02583661,-0.02583661
-20.61022219,-0.03183440,-0.03183440
-20.36022220,-0.03660187,-0.03660187
-20.11022221,-0.03890871,-0.03890871
-19.86022221,-0.03875492,-0.03875492
-19.61022222,-0.03583292,-0.03583292
-19.36022223,-0.03060408,-0.03060408
-19.11022223,-0.02352977,-0.02352977
-18.86022224,-0.01599409,-0.01599409
-18.61022225,-0.00891978,-0.00891978
-18.36022225,-0.00338337,-0.00338337
-18.11022226,-0.00030758,-0.00030758
-17.86022227,-0.00030758,-0.00030758
-17.61022228,-0.00338337,-0.00338337
-17.36022228,-0.00891978,-0.00891978
-17.11022229,-0.01599409,-0.01599409
-16.86022230,-0.02352977,-0.02352977
-16.61022230,-0.03060408,-0.03060408
-16.36022231,-0.03583292,-0.03583292
-16.11022232,-0.03875492,-0.03875492
-15.86022233,-0.03890871,-0.03890871
-15.61022233,-0.03660187,-0.03660187
-15.36022234,-0.03183440,-0.03183440
-15.11022235,-0.02583661,-0.02583661
-14.86022235,-0.01906988,-0.01906988
-14.61022236,-0.01230315,-0.01230315
-14.36022237,-0.00645915,-0.00645915
-14.11022237,-0.00169168,-0.00169168
-13.86022238,0.00138410,0.00138410
-13.61022239,0.00307579,0.00307579
-13.36022240,0.00353716,0.00353716
-13.11022240,0.00307579,0.00307579
-12.86022241,0.00230684,0.00230684
-12.61022242,0.00138410,0.00138410
-12.36022242,0.00061516,0.00061516
-12.11022243,0.00015379,0.00015379
-11.86022244,0.00000000,0.00000000
-11.61022245,-0.00015379,-0.00015379
-11.36022245,0.00000000,0.00000000
-11.11022246,0.00000000,0.00000000
-10.86022247,0.00000000,0.00000000
-10.61022247,0.00000000,0.00000000
-10.36022248,0.00000000,-0.00015379
-10.11022249,0.00000000,0.00000000
-9.86022250,0.00000000,0.00015379
-9.61022250,0.00000000,0.00061516
-9.36022251,0.00000000,0.00138410
-9.11022252,0.00000000,0.00230684
-8.86022252,0.00000000,0.00307579
-8.61022253,0.00000000,0.00353716
-8.36022254,0.00000000,0.00307579
-8.11022254,0.00000000,0.00138410
-7.86022255,0.00000000,-0.00169168
-7.61022256,0.00000000,-0.00645915
-7.36022257,0.00000000,-0.01230315
-7.11022257,0.00000000,-0.01906988
-6.86022258,0.00000000,-0.02583661
-6.61022259,0.00030758,-0.03183440
-6.36022259,0.00092274,-0.03644808
-6.11022260,0.00076895,-0.03890871
-5.86022261,-0.00138410,-0.03890871
-5.61022262,-0.00645915,-0.03644808
-5.36022262,-0.01460999,-0.03183440
-5.11022263,-0.02460630,-0.02583661
-4.86022264,-0.03383366,-0.01906988
-4.61022264,-0.03675566,-0.01230315
-4.36022265,-0.02906619,-0.00645915
-4.11022266,-0.01153420,-0.00169168
-3.86022266,0.01261073,0.00138410
-3.61022267,0.03921629,0.00307579
-3.36022268,0.06520669,0.00353716
-3.11022269,0.09073573,0.00307579
-2.86022269,0.12103220,0.00230684
-2.61022270,0.16901450,0.00138410
-2.36022271,0.24729330,0.00061516
-2.11022271,0.36109750,0.00015379
-1.86022272,0.50965800,0.00000000
-1.61022273,0.68666950,-0.00015379
-1.36022274,0.88290480,0.00000000
-1.11022274,1.08867500,0.00000000
-0.86022275,1.29782900,0.00000000
-0.61022276,1.51159600,0.00000000
-0.36022276,1.73336000,0.00000000
-0.11022277,1.96204500,0.00000000
0.13977722,2.19457400,0.00000000
0.38977721,2.42541200,0.00000000
0.63977721,2.64779100,0.00000000
0.88977720,2.85540700,0.00000000
1.13977719,3.04395300,0.00000000
1.38977719,3.21496700,0.00000000
1.63977718,3.37014000,-0.00015379
1.88977717,3.50747400,0.00000000
