Time,Channel A,Channel B
(ns),(V),(V)

-50.16556431,0.00015379,-0.03890871
-49.91556431,0.00061516,-0.03644808
-49.66556432,0.00138410,-0.03183440
-49.41556433,0.00230684,-0.02583661
-49.16556434,0.00307579,-0.01906988
-48.91556434,0.00353716,-0.01230315
-48.66556435,0.00307579,-0.00645915
-48.41556436,0.00138410,-0.00184547
-48.16556436,-0.00169168,0.00153789
-47.91556437,-0.00645915,0.00369095
-47.66556438,-0.01230315,0.00476747
-47.41556439,-0.01906988,0.00538263
-47.16556439,-0.02583661,0.00538263
-46.91556440,-0.03183440,0.00476747
-46.66556441,-0.03660187,0.00353716
-46.41556441,-0.03890871,0.00138410
-46.16556442,-0.03875492,-0.00169168
-45.91556443,-0.03583292,-0.00584400
-45.66556443,-0.03060408,-0.01107283
-45.41556444,-0.02352977,-0.01676304
-45.16556445,-0.01599409,-0.02276083
-44.91556446,-0.00891978,-0.02845103
-44.66556446,-0.00338337,-0.03337229
-44.41556447,-0.00030758,-0.03752461
-44.16556448,-0.00030758,-0.04060039
-43.91556448,-0.00338337,-0.04290723
-43.66556449,-0.00891978,-0.04413754
-43.41556450,-0.01599409,-0.04490650
-43.16556451,-0.02352977,-0.04490650
-42.91556451,-0.03060408,-0.04429134
-42.66556452,-0.03598671,-0.04290723
-42.41556453,-0.03890871,-0.04075418
-42.16556453,-0.03890871,-0.03737082
-41.91556454,-0.03598671,-0.03275714
-41.66556455,-0.03060408,-0.02706693
-41.41556455,-0.02352977,-0.02045399
-41.16556456,-0.01599409,-0.01368725
-40.91556457,-0.00891978,-0.00753568
-40.66556458,-0.00338337,-0.00292200
-40.41556458,-0.00030758,-0.00030758
-40.16556459,-0.00030758,-0.00030758
-39.91556460,-0.00338337,-0.00292200
-39.66556460,-0.00891978,-0.00753568
-39.41556461,-0.01599409,-0.01368725
-39.16556462,-0.02352977,-0.02045399
-38.91556463,-0.03060408,-0.02706693
-38.66556463,-0.03583292,-0.03275714
-38.41556464,-0.03875492,-0.03737082
-38.16556465,-0.03890871,-0.04075418
-37.91556465,-0.03660187,-0.04290723
-37.66556466,-0.03183440,-0.04429134
-37.41556467,-0.02583661,-0.04490650
-37.16556467,-0.01906988,-0.04490650
-36.91556468,-0.01230315,-0.04429134
-36.66556469,-0.00645915,-0.04290723
-36.41556470,-0.00169168,-0.04075418
-36.16556470,0.00138410,-0.03737082
-35.91556471,0.00307579,-0.03275714
-35.66556472,0.00353716,-0.02706693
-35.41556472,0.00307579,-0.02045399
-35.16556473,0.00230684,-0.01368725
-34.91556474,0.00123032,-0.00753568
-34.66556475,0.00046137,-0.00276821
-34.41556475,0.00000000,-0.00030758
-34.16556476,0.00000000,-0.00046137
-33.91556477,0.00046137,-0.00338337
-33.66556477,0.00123032,-0.00891978
-33.41556478,0.00230684,-0.01599409
-33.16556479,0.00307579,-0.02352977
-32.91556480,0.00353716,-0.03060408
-32.66556480,0.00307579,-0.03598671
-32.41556481,0.00138410,-0.03890871
-32.16556482,-0.00169168,-0.03890871
-31.91556482,-0.00645915,-0.03598671
-31.66556483,-0.01230315,-0.03060408
-31.41556484,-0.01906988,-0.02352977
-31.16556484,-0.02583661,-0.01599409
-30.91556485,-0.03183440,-0.00891978
-30.66556486,-0.03644808,-0.00338337
-30.41556487,-0.03890871,-0.00046137
-30.16556487,-0.03890871,-0.00030758
-29.91556488,-0.03644808,-0.00276821
-29.66556489,-0.03183440,-0.00753568
-29.41556489,-0.02583661,-0.01368725
-29.16556490,-0.01906988,-0.02045399
-28.91556491,-0.01230315,-0.02706693
-28.66556492,-0.00645915,-0.03275714
-28.41556492,-0.00169168,-0.03737082
-28.16556493,0.00138410,-0.04075418
-27.91556494,0.00307579,-0.04290723
-27.66556494,0.00353716,-0.04429134
-27.41556495,0.00307579,-0.04490650
-27.16556496,0.00230684,-0.04490650
-26.91556496,0.00138410,-0.04429134
-26.66556497,0.00061516,-0.04290723
-26.41556498,0.00015379,-0.04075418
-26.16556499,0.00000000,-0.03737082
-25.91556499,-0.00015379,-0.03275714
-25.66556500,0.00000000,-0.02706693
-25.41556501,0.00000000,-0.02045399
-25.16556501,0.00000000,-0.01368725
-24.91556502,0.00000000,-0.00753568
-24.66556503,0.00000000,-0.00276821
-24.41556504,0.00000000,-0.00030758
-24.16556504,0.00000000,-0.00046137
-23.91556505,0.00000000,-0.00338337
-23.66556506,0.00000000,-0.00891978
-23.41556506,0.00000000,-0.01599409
-23.16556507,0.00000000,-0.02352977
-22.91556508,0.00000000,-0.03060408
-22.66556509,0.00000000,-0.03583292
-22.41556509,0.00000000,-0.03875492
-22.16556510,0.00000000,-0.03890871
-21.91556511,0.00000000,-0.03660187
-21.66556511,0.00000000,-0.03183440
-21.41556512,0.00000000,-0.02583661
-21.16556513,0.00000000,-0.01906988
-20.91556513,0.00000000,-0.01230315
-20.66556514,0.00000000,-0.00645915
-20.41556515,0.00000000,-0.00169168
-20.16556516,0.00000000,0.00138410
-19.91556516,0.00000000,0.00307579
-19.66556517,0.00000000,0.00353716
-19.41556518,0.00000000,0.00307579
-19.16556518,0.00000000,0.00230684
-18.91556519,0.00000000,0.00138410
-18.66556520,0.00000000,0.00061516
-18.41556521,0.00000000,0.00015379
-18.16556521,0.00000000,0.00000000
-17.91556522,0.00000000,-0.00015379
-17.66556523,0.00000000,0.00000000
-17.41556523,0.00000000,0.00000000
-17.16556524,0.00000000,0.00000000
-16.91556525,0.00000000,0.00000000
-16.66556525,0.00000000,0.00000000
-16.41556526,0.00000000,0.00000000
-16.16556527,0.00000000,0.00000000
-15.91556528,0.00000000,0.00000000
-15.66556528,0.00000000,0.00000000
-15.41556529,0.00000000,0.00000000
-15.16556530,0.00000000,0.00000000
-14.91556530,0.00000000,0.00000000
-14.66556531,0.00000000,0.00000000
-14.41556532,0.00000000,0.00000000
-14.16556533,0.00000000,0.00000000
-13.91556533,0.00000000,0.00000000
-13.66556534,0.00000000,0.00000000
-13.41556535,0.00000000,0.00000000
-13.16556535,0.00000000,0.00000000
-12.91556536,0.00000000,0.00000000
-12.66556537,0.00000000,-0.00015379
-12.41556537,0.00000000,0.00000000
-12.16556538,0.00000000,0.00015379
-11.91556539,0.00000000,0.00061516
-11.66556540,0.00000000,0.00138410
-11.41556540,0.00000000,0.00230684
-11.16556541,0.00000000,0.00307579
-10.91556542,0.00000000,0.00338337
-10.66556542,-0.00015379,0.00292200
-10.41556543,0.00000000,0.00138410
-10.16556544,0.00015379,-0.00169168
-9.91556545,0.00061516,-0.00584400
-9.66556545,0.00138410,-0.01091904
-9.41556546,0.00230684,-0.01676304
-9.16556547,0.00307579,-0.02276083
-8.91556547,0.00353716,-0.02845103
-8.66556548,0.00307579,-0.03352608
-8.41556549,0.00138410,-0.03752461
-8.16556550,-0.00169168,-0.04060039
-7.91556550,-0.00645915,-0.04229207
-7.66556551,-0.01230315,-0.04290723
-7.41556552,-0.01906988,-0.04259966
-7.16556552,-0.02583661,-0.04183071
-6.91556553,-0.03168061,-0.04075418
-6.66556554,-0.03583292,-0.03983144
-6.41556554,-0.03829356,-0.03921629
-6.16556555,-0.03983144,-0.03921629
-5.91556556,-0.04121555,-0.03983144
-5.66556557,-0.04244586,-0.04075418
-5.41556557,-0.04367618,-0.04183071
-5.16556558,-0.04367618,-0.04259966
-4.91556559,-0.03875492,-0.04290723
-4.66556559,-0.02691314,-0.04229207
-4.41556560,-0.00953494,-0.04060039
-4.16556561,0.00953494,-0.03752461
-3.91556562,0.02660556,-0.03291092
-3.66556562,0.03967766,-0.02706693
-3.41556563,0.05013533,-0.02045399
-3.16556564,0.06428396,-0.01368725
-2.91556564,0.09550320,-0.00753568
-2.66556565,0.15655760,-0.00276821
-2.41556566,0.25267600,-0.00030758
-2.16556566,0.38262800,-0.00046137
-1.91556567,0.54056970,-0.00338337
-1.66556568,0.71727370,-0.00891978
-1.41556569,0.90382010,-0.01599409
-1.16556569,1.09498000,-0.02352977
-0.91556570,1.29367600,-0.03060408
-0.66556571,1.50467500,-0.03598671
-0.41556571,1.72767000,-0.03890871
-0.16556572,1.96004600,-0.03890871
0.08443427,2.19611200,-0.03598671
0.33443426,2.42864200,-0.03060408
0.58443426,2.65040600,-0.02352977
0.83443425,2.85602200,-0.01599409
1.08443424,3.04595200,-0.00891978
1.33443424,3.22127200,-0.00338337
1.58443423,3.37936800,-0.00046137
1.83443422,3.51593300,-0.00030758
2.08443421,3.62681500,-0.00276821
2.33443421,3.70786200,-0.00753568
2.58443420,3.75799700,-0.01368725
2.83443419,3.77875900,-0.02045399
3.08443419,3.77783600,-0.02706693
