Time,Channel A,Channel B
(ns),(V),(V)

-50.04987431,0.00000000,-0.00046137
-49.79987431,0.00000000,-0.00338337
-49.54987432,0.00000000,-0.00891978
-49.29987433,0.00000000,-0.01599409
-49.04987434,0.00000000,-0.02352977
-48.79987434,0.00000000,-0.03060408
-48.54987435,0.00000000,-0.03583292
-48.29987436,0.00000000,-0.03875492
-48.04987436,0.00000000,-0.03890871
-47.79987437,0.00000000,-0.03660187
-47.54987438,0.00000000,-0.03183440
-47.29987439,0.00000000,-0.02583661
-47.04987439,0.00000000,-0.01906988
-46.79987440,0.00000000,-0.01230315
-46.54987441,0.00000000,-0.00645915
-46.29987441,0.00000000,-0.00169168
-46.04987442,0.00000000,0.00138410
-45.79987443,0.00000000,0.00307579
-45.54987443,0.00000000,0.00353716
-45.29987444,0.00000000,0.00307579
-45.04987445,0.00000000,0.00230684
-44.79987446,0.00000000,0.00138410
-44.54987446,0.00000000,0.00061516
-44.29987447,0.00000000,0.00015379
-44.04987448,0.00000000,0.00000000
-43.79987448,0.00000000,-0.00015379
-43.54987449,0.00000000,0.00000000
-43.29987450,0.00000000,0.00000000
-43.04987451,0.00000000,0.00000000
-42.79987451,0.00000000,0.00000000
-42.54987452,0.00000000,0.00000000
-42.29987453,0.00000000,0.00000000
-42.04987453,0.00000000,0.00000000
-41.79987454,0.00000000,0.00000000
-41.54987455,0.00000000,0.00000000
-41.29987455,0.00000000,0.00000000
-41.04987456,0.00000000,0.00000000
-40.79987457,0.00000000,0.00000000
-40.54987458,0.00000000,-0.00015379
-40.29987458,0.00000000,0.00000000
-40.04987459,0.00000000,0.00015379
-39.79987460,0.00000000,0.00061516
-39.54987460,0.00000000,0.00138410
-39.29987461,0.00000000,0.00230684
-39.04987462,0.00000000,0.00307579
-38.79987463,0.00000000,0.00338337
-38.54987463,0.00000000,0.00292200
-38.29987464,0.00000000,0.00138410
-38.04987465,0.00000000,-0.00169168
-37.79987465,0.00000000,-0.00584400
-37.54987466,0.00000000,-0.01091904
-37.29987467,0.00000000,-0.01676304
-37.04987467,0.00000000,-0.02276083
-36.79987468,0.00000000,-0.02845103
-36.54987469,0.00000000,-0.03352608
-36.29987470,0.00000000,-0.03752461
-36.04987470,0.00000000,-0.04060039
-35.79987471,0.00000000,-0.04229207
-35.54987472,0.00000000,-0.04290723
-35.29987472,0.00000000,-0.04259966
-35.04987473,0.00000000,-0.04183071
-34.79987474,0.00000000,-0.04075418
-34.54987475,0.00000000,-0.03983144
-34.29987475,0.00000000,-0.03937008
-34.04987476,0.00000000,-0.03921629
-33.79987477,0.00000000,-0.03921629
-33.54987477,0.00000000,-0.03937008
-33.29987478,0.00000000,-0.03952387
-33.04987479,0.00000000,-0.03952387
-32.79987480,0.00000000,-0.03937008
-32.54987480,-0.00015379,-0.03937008
-32.29987481,0.00000000,-0.03921629
-32.04987482,0.00015379,-0.03921629
-31.79987482,0.00061516,-0.03937008
-31.54987483,0.00138410,-0.03937008
-31.29987484,0.00230684,-0.03952387
-31.04987484,0.00307579,-0.03952387
-30.79987485,0.00353716,-0.03937008
-30.54987486,0.00307579,-0.03937008
-30.29987487,0.00138410,-0.03921629
-30.04987487,-0.00169168,-0.03921629
-29.79987488,-0.00645915,-0.03937008
-29.54987489,-0.01230315,-0.03937008
-29.29987489,-0.01906988,-0.03952387
-29.04987490,-0.02583661,-0.03952387
-28.79987491,-0.03183440,-0.03937008
-28.54987492,-0.03644808,-0.03937008
-28.29987492,-0.03890871,-0.03921629
-28.04987493,-0.03890871,-0.03921629
-27.79987494,-0.03644808,-0.03937008
-27.54987494,-0.03183440,-0.03937008
-27.29987495,-0.02583661,-0.03952387
-27.04987496,-0.01906988,-0.03952387
-26.79987496,-0.01230315,-0.03937008
-26.54987497,-0.00645915,-0.03937008
-26.29987498,-0.00169168,-0.03921629
-26.04987499,0.00138410,-0.03921629
-25.79987499,0.00307579,-0.03937008
-25.54987500,0.00353716,-0.03937008
-25.29987501,0.00307579,-0.03952387
-25.04987501,0.00230684,-0.03952387
-24.79987502,0.00138410,-0.03937008
-24.54987503,0.00061516,-0.03937008
-24.29987504,0.00015379,-0.03921629
-24.04987504,0.00000000,-0.03921629
-23.79987505,-0.00015379,-0.03937008
-23.54987506,0.00000000,-0.03937008
-23.29987506,0.00000000,-0.03952387
-23.04987507,0.00000000,-0.03952387
-22.79987508,0.00000000,-0.03937008
-22.54987509,0.00000000,-0.03937008
-22.29987509,0.00000000,-0.03921629
-22.04987510,0.00000000,-0.03921629
-21.79987511,0.00000000,-0.03937008
-21.54987511,0.00000000,-0.03937008
-21.29987512,0.00000000,-0.03952387
-21.04987513,0.00000000,-0.03952387
-20.79987513,0.00000000,-0.03937008
-20.54987514,-0.00015379,-0.03937008
-20.29987515,0.00000000,-0.03921629
-20.04987516,0.00015379,-0.03921629
-19.79987516,0.00061516,-0.03937008
-19.54987517,0.00138410,-0.03937008
-19.29987518,0.00230684,-0.03952387
-19.04987518,0.00307579,-0.03952387
-18.79987519,0.00353716,-0.03937008
-18.54987520,0.00307579,-0.03921629
-18.29987521,0.00138410,-0.03921629
-18.04987521,-0.00169168,-0.03937008
-17.79987522,-0.00645915,-0.03983144
-17.54987523,-0.01230315,-0.04075418
-17.29987523,-0.01906988,-0.04183071
-17.04987524,-0.02583661,-0.04259966
-16.79987525,-0.03183440,-0.04290723
-16.54987525,-0.03644808,-0.04229207
-16.29987526,-0.03890871,-0.04060039
-16.04987527,-0.03890871,-0.03752461
-15.79987528,-0.03644808,-0.03291092
-15.54987528,-0.03183440,-0.02706693
-15.29987529,-0.02583661,-0.02045399
-15.04987530,-0.01906988,-0.01368725
-14.79987530,-0.01230315,-0.00753568
-14.54987531,-0.00645915,-0.00276821
-14.29987532,-0.00169168,-0.00030758
-14.04987533,0.00138410,-0.00046137
-13.79987533,0.00307579,-0.00338337
-13.54987534,0.00353716,-0.00891978
-13.29987535,0.00307579,-0.01599409
-13.04987535,0.00230684,-0.02352977
-12.79987536,0.00138410,-0.03060408
-12.54987537,0.00061516,-0.03583292
-12.29987537,0.00015379,-0.03875492
-12.04987538,0.00000000,-0.03890871
-11.79987539,-0.00015379,-0.03660187
-11.54987540,0.00000000,-0.03183440
-11.29987540,0.00000000,-0.02583661
-11.04987541,0.00000000,-0.01906988
-10.79987542,0.00000000,-0.01230315
-10.54987542,0.00000000,-0.00645915
-10.29987543,0.00000000,-0.00169168
-10.04987544,0.00000000,0.00138410
-9.79987545,0.00000000,0.00307579
-9.54987545,0.00000000,0.00353716
-9.29987546,0.00000000,0.00307579
-9.04987547,0.00000000,0.00230684
-8.79987547,0.00000000,0.00138410
-8.54987548,0.00000000,0.00061516
-8.29987549,0.00000000,0.00015379
-8.04987550,0.00000000,0.00000000
-7.79987550,0.00000000,-0.00015379
-7.54987551,0.00000000,0.00000000
-7.29987552,0.00000000,0.00000000
-7.04987552,0.00000000,0.00000000
-6.79987553,0.00030758,0.00000000
-6.54987554,0.00076895,0.00000000
-6.29987554,0.00061516,0.00000000
-6.04987555,-0.00123032,0.00000000
-5.79987556,-0.00584400,0.00000000
-5.54987557,-0.01322589,0.00000000
-5.29987557,-0.02245325,0.00000000
-5.04987558,-0.03075787,0.00000000
-4.79987559,-0.03337229,0.00000000
-4.54987559,-0.02629798,0.00000000
-4.29987560,-0.01030389,0.00000000
-4.04987561,0.01122662,0.00000000
-3.79987562,0.03460261,0.00000000
-3.54987562,0.05674828,0.00000000
-3.29987563,0.07843257,0.00000000
-3.04987564,0.10442300,0.00000000
-2.79987564,0.14748400,0.00000000
-2.54987565,0.21991880,0.00000000
-2.29987566,0.32618730,0.00000000
-2.04987566,0.46567420,0.00000000
-1.79987567,0.63222810,0.00000000
-1.54987568,0.81662150,0.00000000
-1.29987569,1.01024200,0.00000000
-1.04987569,1.20755400,0.00000000
-0.79987570,1.41055600,0.00000000
-0.54987571,1.62370800,0.00000000
-0.29987571,1.84639500,0.00000000
-0.04987572,2.07569500,0.00000000
0.20012427,2.30576400,0.00000000
0.45012426,2.52968100,0.00000000
0.70012426,2.74068000,0.00000000
0.95012425,2.93445500,0.00000000
1.20012424,3.11208200,0.00000000
1.45012424,3.27571400,-0.00015379
1.70012423,3.42319800,0.00000000
1.95012422,3.55084300,0.00015379
2.20012421,3.65418900,0.00061516
2.45012421,3.72939200,0.00138410
2.70012420,3.77460600,0.00230684
2.95012419,3.79106200,0.00307579
3.20012419,3.78614000,0.00338337
3.45012418,3.76814700,0.00292200
3.70012417,3.74138800,0.00138410
3.95012417,3.70663100,-0.00169168
4.20012416,3.66172500,-0.00584400
