Time,Channel A,Channel B
(ns),(V),(V)

-50.58627431,0.00000000,0.00015379
-50.33627431,-0.00015379,0.00061516
-50.08627432,0.00000000,0.00138410
-49.83627433,0.00000000,0.00230684
-49.58627434,0.00000000,0.00307579
-49.33627434,0.00000000,0.00353716
-49.08627435,0.00000000,0.00307579
-48.83627436,0.00000000,0.00138410
-48.58627436,0.00000000,-0.00169168
-48.33627437,0.00000000,-0.00645915
-48.08627438,0.00000000,-0.01230315
-47.83627439,0.00000000,-0.01906988
-47.58627439,0.00000000,-0.02583661
-47.33627440,0.00000000,-0.03183440
-47.08627441,-0.00015379,-0.03660187
-46.83627441,0.00000000,-0.03890871
-46.58627442,0.00015379,-0.03875492
-46.33627443,0.00061516,-0.03583292
-46.08627443,0.00138410,-0.03060408
-45.83627444,0.00230684,-0.02352977
-45.58627445,0.00307579,-0.01599409
-45.33627446,0.00353716,-0.00891978
-45.08627446,0.00307579,-0.00338337
-44.83627447,0.00138410,-0.00030758
-44.58627448,-0.00169168,-0.00030758
-44.33627448,-0.00645915,-0.00338337
-44.08627449,-0.01230315,-0.00891978
-43.83627450,-0.01906988,-0.01599409
-43.58627451,-0.02583661,-0.02352977
-43.33627451,-0.03183440,-0.03060408
-43.08627452,-0.03644808,-0.03598671
-42.83627453,-0.03890871,-0.03890871
-42.58627453,-0.03890871,-0.03890871
-42.33627454,-0.03644808,-0.03598671
-42.08627455,-0.03183440,-0.03060408
-41.83627455,-0.02583661,-0.02352977
-41.58627456,-0.01906988,-0.01599409
-41.33627457,-0.01230315,-0.00891978
-41.08627458,-0.00645915,-0.00338337
-40.83627458,-0.00169168,-0.00030758
-40.58627459,0.00138410,-0.00030758
-40.33627460,0.00307579,-0.00338337
-40.08627460,0.00353716,-0.00891978
-39.83627461,0.00307579,-0.01599409
-39.58627462,0.00230684,-0.02352977
-39.33627463,0.00138410,-0.03060408
-39.08627463,0.00061516,-0.03598671
-38.83627464,0.00015379,-0.03890871
-38.58627465,0.00000000,-0.03890871
-38.33627465,-0.00015379,-0.03598671
-38.08627466,0.00000000,-0.03060408
-37.83627467,0.00000000,-0.02352977
-37.58627467,0.00000000,-0.01599409
-37.33627468,0.00000000,-0.00891978
-37.08627469,0.00000000,-0.00338337
-36.83627470,0.00000000,-0.00046137
-36.58627470,0.00000000,-0.00030758
-36.33627471,0.00000000,-0.00276821
-36.08627472,0.00000000,-0.00753568
-35.83627472,0.00000000,-0.01368725
-35.58627473,0.00000000,-0.02045399
-35.33627474,0.00000000,-0.02706693
-35.08627475,-0.00015379,-0.03291092
-34.83627475,0.00000000,-0.03752461
-34.58627476,0.00015379,-0.04060039
-34.33627477,0.00061516,-0.04229207
-34.08627477,0.00138410,-0.04290723
-33.83627478,0.00230684,-0.04259966
-33.58627479,0.00307579,-0.04183071
-33.33627480,0.00353716,-0.04075418
-33.08627480,0.00307579,-0.03983144
-32.83627481,0.00138410,-0.03921629
-32.58627482,-0.00169168,-0.03921629
-32.33627482,-0.00645915,-0.03983144
-32.08627483,-0.01230315,-0.04075418
-31.83627484,-0.01906988,-0.04183071
-31.58627484,-0.02583661,-0.04259966
-31.33627485,-0.03183440,-0.04290723
-31.08627486,-0.03644808,-0.04229207
-30.83627487,-0.03890871,-0.04060039
-30.58627487,-0.03890871,-0.03752461
-30.33627488,-0.03644808,-0.03291092
-30.08627489,-0.03183440,-0.02706693
-29.83627489,-0.02583661,-0.02045399
-29.58627490,-0.01906988,-0.01368725
-29.33627491,-0.01230315,-0.00753568
-29.08627492,-0.00630536,-0.00276821
-28.83627492,-0.00169168,-0.00030758
-28.58627493,0.00123032,-0.00046137
-28.33627494,0.00246063,-0.00338337
-28.08627494,0.00215305,-0.00891978
-27.83627495,0.00076895,-0.01599409
-27.58627496,-0.00076895,-0.02352977
-27.33627496,-0.00215305,-0.03060408
-27.08627497,-0.00246063,-0.03598671
-26.83627498,-0.00123032,-0.03890871
-26.58627499,0.00169168,-0.03890871
-26.33627499,0.00630536,-0.03598671
-26.08627500,0.01230315,-0.03060408
-25.83627501,0.01906988,-0.02352977
-25.58627501,0.02583661,-0.01599409
-25.33627502,0.03183440,-0.00891978
-25.08627503,0.03644808,-0.00338337
-24.83627504,0.03890871,-0.00030758
-24.58627504,0.03890871,-0.00030758
-24.33627505,0.03644808,-0.00338337
-24.08627506,0.03183440,-0.00891978
-23.83627506,0.02583661,-0.01599409
-23.58627507,0.01906988,-0.02352977
-23.33627508,0.01230315,-0.03060408
-23.08627509,0.00630536,-0.03583292
-22.83627509,0.00169168,-0.03875492
-22.58627510,-0.00123032,-0.03890871
-22.33627511,-0.00246063,-0.03660187
-22.08627511,-0.00215305,-0.03183440
-21.83627512,-0.00076895,-0.02583661
-21.58627513,0.00076895,-0.01906988
-21.33627513,0.00215305,-0.01230315
-21.08627514,0.00246063,-0.00645915
-20.83627515,0.00123032,-0.00169168
-20.58627516,-0.00169168,0.00138410
-20.33627516,-0.00630536,0.00307579
-20.08627517,-0.01230315,0.00353716
-19.83627518,-0.01906988,0.00307579
-19.58627518,-0.02583661,0.00230684
-19.33627519,-0.03183440,0.00123032
-19.08627520,-0.03644808,0.00046137
-18.83627521,-0.03890871,0.00000000
-18.58627521,-0.03890871,0.00000000
-18.33627522,-0.03644808,0.00046137
-18.08627523,-0.03183440,0.00123032
-17.83627523,-0.02583661,0.00230684
-17.58627524,-0.01906988,0.00307579
-17.33627525,-0.01230315,0.00353716
-17.08627525,-0.00645915,0.00307579
-16.83627526,-0.00169168,0.00138410
-16.58627527,0.00138410,-0.00169168
-16.33627528,0.00307579,-0.00645915
-16.08627528,0.00353716,-0.01230315
-15.83627529,0.00307579,-0.01906988
-15.58627530,0.00230684,-0.02583661
-15.33627530,0.00138410,-0.03183440
-15.08627531,0.00061516,-0.03660187
-14.83627532,0.00015379,-0.03890871
-14.58627533,0.00000000,-0.03875492
-14.33627533,-0.00015379,-0.03583292
-14.08627534,0.00000000,-0.03060408
-13.83627535,0.00000000,-0.02352977
-13.58627535,0.00000000,-0.01599409
-13.33627536,0.00000000,-0.00891978
-13.08627537,0.00000000,-0.00338337
-12.83627537,0.00000000,-0.00046137
-12.58627538,0.00000000,-0.00030758
-12.33627539,0.00000000,-0.00276821
-12.08627540,0.00000000,-0.00753568
-11.83627540,0.00000000,-0.01368725
-11.58627541,0.00000000,-0.02045399
-11.33627542,0.00000000,-0.02706693
-11.08627542,0.00000000,-0.03291092
-10.83627543,0.00000000,-0.03752461
-10.58627544,0.00000000,-0.04060039
-10.33627545,0.00000000,-0.04229207
-10.08627545,0.00000000,-0.04290723
-9.83627546,0.00000000,-0.04259966
-9.58627547,0.00000000,-0.04183071
-9.33627547,0.00000000,-0.04075418
-9.08627548,0.00000000,-0.03983144
-8.83627549,0.00000000,-0.03921629
-8.58627550,0.00000000,-0.03921629
-8.33627550,0.00000000,-0.03983144
-8.08627551,0.00000000,-0.04075418
-7.83627552,0.00000000,-0.04183071
-7.58627552,0.00000000,-0.04259966
-7.33627553,0.00015379,-0.04290723
-7.08627554,0.00030758,-0.04229207
-6.83627554,0.00030758,-0.04060039
-6.58627555,-0.00046137,-0.03752461
-6.33627556,-0.00230684,-0.03291092
-6.08627557,-0.00538263,-0.02706693
-5.83627557,-0.00891978,-0.02045399
-5.58627558,-0.01230315,-0.01368725
-5.33627559,-0.01276452,-0.00753568
-5.08627559,-0.00907357,-0.00276821
-4.83627560,-0.00292200,-0.00030758
-4.58627561,0.00230684,-0.00046137
-4.33627562,0.00322958,-0.00338337
-4.08627562,-0.00123032,-0.00891978
-3.83627563,-0.00891978,-0.01599409
-3.58627564,-0.01353347,-0.02352977
-3.33627564,-0.00215305,-0.03060408
-3.08627565,0.03706324,-0.03598671
-2.83627566,0.10888290,-0.03890871
-2.58627566,0.21207550,-0.03890871
-2.33627567,0.34079720,-0.03598671
-2.08627568,0.48674330,-0.03060408
-1.83627569,0.64268580,-0.02352977
-1.58627569,0.80508730,-0.01599409
-1.33627570,0.97840790,-0.00891978
-1.08627571,1.16926100,-0.00338337
-0.83627571,1.37887500,-0.00030758
-0.58627572,1.60479200,-0.00030758
-0.33627573,1.84116600,-0.00338337
-0.08627574,2.08030900,-0.00891978
0.16372426,2.31391500,-0.01599409
0.41372425,2.53583300,-0.02352977
0.66372424,2.74575500,-0.03060408
0.91372424,2.94475900,-0.03598671
1.16372423,3.12961400,-0.03890871
1.41372422,3.29586000,-0.03875492
1.66372421,3.43857600,-0.03537155
1.91372421,3.55345700,-0.02921998
2.16372420,3.63850300,-0.02137672
2.41372419,3.69509700,-0.01291831
