Time,Channel A,Channel B
(ns),(V),(V)

-51.13591931,0.00000000,0.00015379
-50.88591931,0.00000000,0.00061516
-50.63591932,0.00000000,0.00138410
-50.38591933,0.00000000,0.00230684
-50.13591934,0.00000000,0.00307579
-49.88591934,0.00000000,0.00353716
-49.63591935,0.00000000,0.00307579
-49.38591936,0.00000000,0.00138410
-49.13591936,0.00000000,-0.00169168
-48.88591937,0.00000000,-0.00645915
-48.63591938,0.00000000,-0.01230315
-48.38591939,0.00000000,-0.01906988
-48.13591939,0.00000000,-0.02583661
-47.88591940,0.00000000,-0.03183440
-47.63591941,0.00000000,-0.03660187
-47.38591941,0.00000000,-0.03890871
-47.13591942,0.00000000,-0.03875492
-46.88591943,0.00000000,-0.03583292
-46.63591943,0.00000000,-0.03060408
-46.38591944,0.00000000,-0.02352977
-46.13591945,0.00000000,-0.01599409
-45.88591946,0.00000000,-0.00891978
-45.63591946,0.00000000,-0.00338337
-45.38591947,0.00000000,-0.00046137
-45.13591948,0.00000000,-0.00030758
-44.88591948,0.00000000,-0.00276821
-44.63591949,0.00000000,-0.00753568
-44.38591950,0.00000000,-0.01368725
-44.13591951,0.00000000,-0.02045399
-43.88591951,0.00000000,-0.02706693
-43.63591952,0.00000000,-0.03291092
-43.38591953,0.00000000,-0.03752461
-43.13591953,0.00000000,-0.04060039
-42.88591954,0.00000000,-0.04229207
-42.63591955,0.00000000,-0.04290723
-42.38591955,0.00000000,-0.04259966
-42.13591956,0.00000000,-0.04183071
-41.88591957,0.00000000,-0.04075418
-41.63591958,0.00000000,-0.03983144
-41.38591958,0.00000000,-0.03937008
-41.13591959,0.00000000,-0.03921629
-40.88591960,0.00000000,-0.03921629
-40.63591960,0.00000000,-0.03937008
-40.38591961,0.00000000,-0.03952387
-40.13591962,0.00000000,-0.03952387
-39.88591963,0.00000000,-0.03937008
-39.63591963,0.00000000,-0.03937008
-39.38591964,0.00000000,-0.03921629
-39.13591965,0.00000000,-0.03921629
-38.88591965,0.00000000,-0.03937008
-38.63591966,0.00000000,-0.03937008
-38.38591967,0.00000000,-0.03952387
-38.13591967,0.00000000,-0.03952387
-37.88591968,0.00000000,-0.03937008
-37.63591969,0.00000000,-0.03937008
-37.38591970,0.00000000,-0.03921629
-37.13591970,0.00000000,-0.03921629
-36.88591971,0.00000000,-0.03937008
-36.63591972,0.00000000,-0.03937008
-36.38591972,0.00000000,-0.03952387
-36.13591973,0.00000000,-0.03952387
-35.88591974,0.00000000,-0.03937008
-35.63591975,-0.00015379,-0.03937008
-35.38591975,0.00000000,-0.03921629
-35.13591976,0.00015379,-0.03921629
-34.88591977,0.00061516,-0.03937008
-34.63591977,0.00138410,-0.03937008
-34.38591978,0.00230684,-0.03952387
-34.13591979,0.00307579,-0.03952387
-33.88591980,0.00353716,-0.03937008
-33.63591980,0.00307579,-0.03921629
-33.38591981,0.00138410,-0.03921629
-33.13591982,-0.00169168,-0.03937008
-32.88591982,-0.00645915,-0.03983144
-32.63591983,-0.01230315,-0.04075418
-32.38591984,-0.01906988,-0.04183071
-32.13591984,-0.02583661,-0.04259966
-31.88591985,-0.03183440,-0.04290723
-31.63591986,-0.03644808,-0.04229207
-31.38591987,-0.03890871,-0.04060039
-31.13591987,-0.03890871,-0.03752461
-30.88591988,-0.03644808,-0.03291092
-30.63591989,-0.03183440,-0.02706693
-30.38591989,-0.02583661,-0.02045399
-30.13591990,-0.01906988,-0.01368725
-29.88591991,-0.01230315,-0.00753568
-29.63591992,-0.00645915,-0.00292200
-29.38591992,-0.00169168,-0.00030758
-29.13591993,0.00138410,-0.00030758
-28.88591994,0.00307579,-0.00292200
-28.63591994,0.00353716,-0.00753568
-28.38591995,0.00307579,-0.01368725
-28.13591996,0.00230684,-0.02045399
-27.88591996,0.00138410,-0.02706693
-27.63591997,0.00061516,-0.03291092
-27.38591998,0.00015379,-0.03752461
-27.13591999,0.00000000,-0.04060039
-26.88591999,-0.00015379,-0.04229207
-26.63592000,0.00000000,-0.04290723
-26.38592001,0.00000000,-0.04259966
-26.13592001,0.00000000,-0.04183071
-25.88592002,0.00000000,-0.04075418
-25.63592003,0.00000000,-0.03983144
-25.38592004,0.00000000,-0.03921629
-25.13592004,0.00000000,-0.03921629
-24.88592005,0.00000000,-0.03983144
-24.63592006,0.00000000,-0.04075418
-24.38592006,0.00000000,-0.04183071
-24.13592007,0.00000000,-0.04259966
-23.88592008,0.00000000,-0.04290723
-23.63592009,-0.00015379,-0.04229207
-23.38592009,0.00000000,-0.04060039
-23.13592010,0.00015379,-0.03752461
-22.88592011,0.00061516,-0.03352608
-22.63592011,0.00138410,-0.02845103
-22.38592012,0.00230684,-0.02276083
-22.13592013,0.00307579,-0.01676304
-21.88592013,0.00353716,-0.01091904
-21.63592014,0.00307579,-0.00584400
-21.38592015,0.00138410,-0.00169168
-21.13592016,-0.00169168,0.00138410
-20.88592016,-0.00645915,0.00292200
-20.63592017,-0.01230315,0.00338337
-20.38592018,-0.01906988,0.00307579
-20.13592018,-0.02583661,0.00230684
-19.88592019,-0.03183440,0.00138410
-19.63592020,-0.03644808,0.00061516
-19.38592021,-0.03890871,0.00015379
-19.13592021,-0.03890871,0.00000000
-18.88592022,-0.03644808,-0.00015379
-18.63592023,-0.03183440,0.00000000
-18.38592023,-0.02583661,0.00000000
-18.13592024,-0.01906988,0.00000000
-17.88592025,-0.01230315,0.00000000
-17.63592025,-0.00645915,0.00000000
-17.38592026,-0.00169168,0.00000000
-17.13592027,0.00138410,0.00000000
-16.88592028,0.00307579,0.00000000
-16.63592028,0.00353716,0.00000000
-16.38592029,0.00307579,0.00000000
-16.13592030,0.00230684,0.00000000
-15.88592030,0.00138410,0.00000000
-15.63592031,0.00061516,0.00000000
-15.38592032,0.00015379,0.00000000
-15.13592033,0.00000000,0.00000000
-14.88592033,-0.00015379,0.00000000
-14.63592034,0.00000000,0.00000000
-14.38592035,0.00000000,0.00000000
-14.13592035,0.00000000,0.00000000
-13.88592036,0.00000000,0.00000000
-13.63592037,0.00000000,0.00000000
-13.38592037,0.00000000,0.00000000
-13.13592038,0.00000000,0.00000000
-12.88592039,0.00000000,0.00000000
-12.63592040,0.00000000,0.00000000
-12.38592040,0.00000000,0.00000000
-12.13592041,0.00000000,0.00000000
-11.88592042,0.00000000,0.00000000
-11.63592042,-0.00015379,-0.00015379
-11.38592043,0.00000000,0.00000000
-11.13592044,0.00015379,0.00015379
-10.88592045,0.00061516,0.00061516
-10.63592045,0.00138410,0.00138410
-10.38592046,0.00230684,0.00230684
-10.13592047,0.00307579,0.00307579
-9.88592047,0.00353716,0.00353716
-9.63592048,0.00307579,0.00307579
-9.38592049,0.00138410,0.00138410
-9.13592050,-0.00169168,-0.00169168
-8.88592050,-0.00645915,-0.00645915
-8.63592051,-0.01230315,-0.01230315
-8.38592052,-0.01906988,-0.01906988
-8.13592052,-0.02583661,-0.02583661
-7.88592053,-0.03183440,-0.03183440
-7.63592054,-0.03644808,-0.03660187
-7.38592054,-0.03890871,-0.03890871
-7.13592055,-0.03890871,-0.03875492
-6.88592056,-0.03644808,-0.03583292
-6.63592057,-0.03183440,-0.03060408
-6.38592057,-0.02583661,-0.02352977
-6.13592058,-0.01906988,-0.01599409
-5.88592059,-0.01168799,-0.00891978
-5.63592059,-0.00445989,-0.00338337
-5.38592060,-0.00015379,-0.00030758
-5.13592061,-0.00169168,-0.00030758
-4.88592062,-0.01107283,-0.00338337
-4.63592062,-0.02845103,-0.00891978
-4.38592063,-0.05059670,-0.01599409
-4.13592064,-0.07151206,-0.02352977
-3.88592064,-0.08012426,-0.03060408
-3.63592065,-0.06659080,-0.03598671
-3.38592066,-0.02814345,-0.03890871
-3.13592066,0.03337229,-0.03890871
-2.88592067,0.11242000,-0.03598671
-2.63592068,0.20269440,-0.03060408
-2.38592069,0.30004300,-0.02352977
-2.13592069,0.40446610,-0.01599409
-1.88592070,0.52457550,-0.00891978
-1.63592071,0.66990650,-0.00338337
-1.38592071,0.84368850,-0.00030758
-1.13592072,1.04453700,-0.00030758
-0.88592073,1.26630200,-0.00338337
-0.63592074,1.50006200,-0.00891978
-0.38592074,1.73659000,-0.01599409
-0.13592075,1.96865800,-0.02352977
0.11407924,2.19611200,-0.03060408
0.36407924,2.42049100,-0.03598671
0.61407923,2.63902500,-0.03890871
0.86407922,2.84741000,-0.03890871
1.11407921,3.04041600,-0.03598671
1.36407921,3.21281400,-0.03060408
1.61407920,3.36060500,-0.02352977
1.86407919,3.48286800,-0.01599409
2.11407919,3.58375400,-0.00891978
2.36407918,3.66833800,-0.00338337
